Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Detenciones e investigados,Victimizaciones
Castilla - La Mancha,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2015,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2014,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2013,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2012,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,41 a 50,Femenino,2011,1.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2019,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2018,4.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2017,1.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2016,1.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2015,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2014,2.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2013,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2012,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Masculino,2011,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2019,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2018,0.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2017,0.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2016,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2015,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2014,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2013,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2012,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,51 a 65,Femenino,2011,1.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2019,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2018,0.0,2.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2017,0.0,2.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2016,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2015,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2014,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2013,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2012,1.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Masculino,2011,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2019,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2018,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2017,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2016,0.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2015,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2014,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2013,0.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2012,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,> 65,Femenino,2011,0.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2019,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2018,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2017,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2016,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2015,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2014,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2013,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2012,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Masculino,2011,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2019,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2018,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2017,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2016,0.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2015,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2014,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2013,0.0,1.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2012,0.0,0.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,Desconocida,Femenino,2011,0.0,1.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2019,14.0,10.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2018,2.0,11.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2017,3.0,9.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2016,1.0,3.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2015,5.0,18.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2014,6.0,4.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2013,8.0,0.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2012,1.0,2.0
Castilla - La Mancha,Delitos sexuales,< 18,Masculino,2011,3.0,3.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2019,0.0,36.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2018,1.0,29.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2017,0.0,20.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2016,0.0,19.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2015,0.0,31.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2014,1.0,13.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2013,0.0,15.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2012,0.0,4.0
Castilla - La Mancha,Delitos sexuales,< 18,Femenino,2011,0.0,7.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2019,17.0,46.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2018,9.0,40.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2017,4.0,30.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2016,7.0,22.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2015,4.0,49.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2014,7.0,17.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2013,5.0,15.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2012,4.0,6.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Masculino,2011,3.0,10.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2019,1.0,0.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2018,0.0,0.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2016,0.0,0.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2015,0.0,0.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2014,0.0,1.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2013,0.0,1.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2012,0.0,0.0
Castilla - La Mancha,Delitos sexuales,18 a 25,Femenino,2011,0.0,1.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2019,15.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2018,9.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2017,14.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2016,7.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2015,10.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2014,6.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2013,3.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2012,14.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Masculino,2011,6.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2019,0.0,1.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2018,0.0,3.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2016,0.0,1.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2015,0.0,1.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2014,1.0,1.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2013,0.0,1.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2012,0.0,0.0
Castilla - La Mancha,Delitos sexuales,26 a 40,Femenino,2011,0.0,2.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2019,9.0,3.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2018,2.0,3.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2017,5.0,2.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2016,7.0,4.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2015,1.0,1.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2014,6.0,2.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2013,0.0,3.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2012,10.0,2.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Masculino,2011,4.0,1.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2019,0.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2018,3.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2016,0.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2015,0.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2014,0.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2013,0.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2012,0.0,0.0
Castilla - La Mancha,Delitos sexuales,41 a 50,Femenino,2011,0.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2019,3.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2018,6.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2017,4.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2016,5.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2015,4.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2014,2.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2013,1.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2012,7.0,1.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Masculino,2011,4.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2019,1.0,1.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2018,0.0,3.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2016,0.0,1.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2015,0.0,3.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2014,0.0,0.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2013,0.0,1.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2012,0.0,1.0
Castilla - La Mancha,Delitos sexuales,51 a 65,Femenino,2011,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2019,3.0,1.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2018,2.0,3.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2016,1.0,1.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2015,0.0,3.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2014,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2013,0.0,1.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2012,1.0,2.0
Castilla - La Mancha,Delitos sexuales,> 65,Masculino,2011,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2019,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2018,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2016,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2015,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2014,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2013,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2012,0.0,0.0
Castilla - La Mancha,Delitos sexuales,> 65,Femenino,2011,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2019,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2018,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2016,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2015,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2014,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2013,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2012,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Masculino,2011,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2019,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2018,0.0,1.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2017,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2016,0.0,1.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2015,0.0,1.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2014,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2013,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2012,0.0,0.0
Castilla - La Mancha,Delitos sexuales,Desconocida,Femenino,2011,0.0,1.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2019,3.0,3.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2018,1.0,3.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2017,1.0,1.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2016,0.0,1.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2015,0.0,2.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2014,1.0,0.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2013,0.0,3.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2012,1.0,1.0
Castilla - La Mancha,Falsificación informática,< 18,Masculino,2011,1.0,1.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2019,0.0,7.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2018,0.0,5.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2017,0.0,8.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2016,0.0,4.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2015,0.0,3.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2014,3.0,3.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2013,0.0,3.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2012,0.0,3.0
Castilla - La Mancha,Falsificación informática,< 18,Femenino,2011,0.0,0.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2019,6.0,10.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2018,11.0,8.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2017,4.0,9.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2016,0.0,5.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2015,1.0,5.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2014,5.0,3.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2013,2.0,6.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2012,4.0,4.0
Castilla - La Mancha,Falsificación informática,18 a 25,Masculino,2011,0.0,1.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2019,5.0,8.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2018,5.0,13.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2017,5.0,6.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2016,2.0,6.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2015,0.0,8.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2014,3.0,4.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2013,4.0,9.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2012,4.0,4.0
Castilla - La Mancha,Falsificación informática,18 a 25,Femenino,2011,4.0,6.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2019,16.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2018,8.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2017,11.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2016,7.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2015,8.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2014,7.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2013,7.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2012,7.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Masculino,2011,9.0,0.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2019,12.0,25.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2018,13.0,25.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2017,5.0,22.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2016,9.0,21.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2015,4.0,16.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2014,7.0,13.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2013,4.0,17.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2012,1.0,10.0
Castilla - La Mancha,Falsificación informática,26 a 40,Femenino,2011,2.0,10.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2019,6.0,31.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2018,9.0,38.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2017,8.0,19.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2016,4.0,15.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2015,3.0,21.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2014,1.0,19.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2013,2.0,16.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2012,3.0,7.0
Castilla - La Mancha,Falsificación informática,41 a 50,Masculino,2011,1.0,13.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2019,6.0,0.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2018,7.0,1.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2017,3.0,0.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2016,6.0,0.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2015,0.0,0.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2014,3.0,0.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2013,1.0,1.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2012,1.0,0.0
Castilla - La Mancha,Falsificación informática,41 a 50,Femenino,2011,1.0,0.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2019,2.0,20.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2018,2.0,28.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2017,4.0,18.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2016,3.0,11.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2015,2.0,14.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2014,1.0,10.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2013,2.0,5.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2012,1.0,10.0
Castilla - La Mancha,Falsificación informática,51 a 65,Masculino,2011,0.0,5.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2019,1.0,17.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2018,3.0,20.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2017,1.0,16.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2016,0.0,17.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2015,0.0,14.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2014,1.0,16.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2013,1.0,5.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2012,0.0,4.0
Castilla - La Mancha,Falsificación informática,51 a 65,Femenino,2011,1.0,5.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2019,0.0,37.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2018,1.0,48.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2017,1.0,34.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2016,0.0,29.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2015,0.0,28.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2014,0.0,26.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2013,0.0,10.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2012,0.0,14.0
Castilla - La Mancha,Falsificación informática,> 65,Masculino,2011,0.0,10.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2019,0.0,24.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2018,0.0,18.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2017,0.0,15.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2016,0.0,15.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2015,0.0,6.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2014,0.0,8.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2013,0.0,8.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2012,0.0,6.0
Castilla - La Mancha,Falsificación informática,> 65,Femenino,2011,0.0,7.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2019,0.0,1.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2018,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2017,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2016,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2015,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2014,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2013,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2012,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Masculino,2011,0.0,0.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2019,0.0,35.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2018,0.0,29.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2017,0.0,22.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2016,0.0,23.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2015,0.0,10.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2014,0.0,13.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2013,0.0,10.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2012,0.0,9.0
Castilla - La Mancha,Falsificación informática,Desconocida,Femenino,2011,0.0,11.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2019,3.0,3.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2018,0.0,9.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2017,3.0,9.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2016,0.0,13.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2015,3.0,9.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2014,3.0,4.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2013,2.0,2.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2012,6.0,1.0
Castilla - La Mancha,Fraude informático,< 18,Masculino,2011,3.0,4.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2019,0.0,9.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2018,2.0,4.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2017,3.0,1.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2016,0.0,3.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2015,1.0,5.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2014,1.0,1.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2013,0.0,1.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2012,1.0,0.0
Castilla - La Mancha,Fraude informático,< 18,Femenino,2011,0.0,1.0
Castilla - La Mancha,Fraude informático,18 a 25,Masculino,2019,43.0,12.0
